ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Itens p/ caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;URL_Banner_Carrossel
16478990690;"AGF-01	";Brincos Argolas Fio em Semijoia - AGF-01;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-01";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549025162_67b4a29e5d_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;https://live.staticflickr.com/65535/54630995785_306f9df137_c.jpg
16478990692;"AGF-02	";Brincos Argolas Fio em Semijoia - AGF-02;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-02";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550083569_9c120c7b17_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;https://live.staticflickr.com/65535/54630995745_5d64598a7c_c.jpg
16478990698;"AGF-03	";Brincos Argolas Fio em Semijoia - AGF-03;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-03";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549025487_536f68b1ac_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;https://live.staticflickr.com/65535/54630995770_e97f9f6be0_c.jpg
16478990706;"AGF-04	";Brincos Argolas Fio em Semijoia - AGF-04;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-04";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549025677_48eb40cdea_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;https://live.staticflickr.com/65535/54630911748_4fe6f7d86e_c.jpg
16478990711;"AGF-05	";Brincos Argolas Fio em Semijoia - AGF-05;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-05";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550084009_9320c5ab75_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;https://live.staticflickr.com/65535/54630995790_e2f538968d_c.jpg
16478990715;"AGF-06	";Brincos Argolas Fio em Semijoia - AGF-06;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-06";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549904131_4d43a6a69b_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990718;"AGF-07	";Brincos Argolas Fio em Semijoia - AGF-07;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-07";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549904291_09a1199623_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990721;"AGF-08	";Brincos Argolas Fio em Semijoia - AGF-08;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-08";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549026342_bb5ffe1346_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990724;"AGF-09	";Brincos Argolas Fio em Semijoia - AGF-09;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-09";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549904621_9cae23cdde_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990729;"AGF-10	";Brincos Argolas Fio em Semijoia - AGF-10;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-10";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550084774_2aea150c05_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990732;"AGF-11	";Brincos Argolas Fio em Semijoia - AGF-11;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-11";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549904976_75c1ebce31_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990742;"AGF-12	";Brincos Argolas Fio em Semijoia - AGF-12;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-12";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549905151_e6d74d8b52_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990745;"AGF-13	";Brincos Argolas Fio em Semijoia - AGF-13;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-13";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550137803_9af140c4c7_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990748;"AGF-14	";Brincos Argolas Fio em Semijoia - AGF-14;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-14";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550085404_94b13a4887_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990946;"AGF-15	";Brincos Argolas Fio em Semijoia - AGF-15;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-15";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549905431_b426bb7ea0_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990951;"AGF-16	";Brincos Argolas Fio em Semijoia - AGF-16;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-16";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550085664_5d9f7fb157_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990954;"AGF-17	";Brincos Argolas Fio em Semijoia - AGF-17;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-17";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549027637_f183a89da3_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
